search_terms,basin_code,basin_name,search_completed,basin_count,"Search Notes, Identify any issues ",over_ten_k,finished
Saskatchewan OR Amisk Lake OR Beaverhill Lake OR CAPS(Bow) OR Brazeau OR CAPS(Candle Lake) OR CAPS(Carrot) OR CAPS(Cedar Lake) OR Chin Coulee OR CAPS(Clear Water) OR Coulee OR CAPS(Eagle Creek) OR Etzikon Coulee OR Freshfield Icefield OR CAPS(Frog Lake) OR CAPS(Goose Lake) OR Kipp Coulee OR Lake Diefenbaka OR Lake Winnipeg OR CAPS(Little Bow) OR Manitoa Lake OR McGregor Lake OR Meinsinger Creek OR Minnewanka OR Nelson OR North Saskatchewan OR Oldman OR Pakowki Lake OR CAPS(Red)  OR South Saskatchewan OR Sturgeon OR CAPS(Torch) OR Travers Reservoir OR CAPS(White Fox) OR CAPS(Willow Creek) OR CAPS(Wood) OR Lake of the Woods OR Lake Sakakwer OR CAPS(Red River) of North OR Sheyenne,NELS,Nelson-Saskatchewan,N,,,,
Sirba OR Lagdo Reservoir OR CAPS(Rey) OR O:Ti-n-Amzi OR Milo OR Tinkisso OR Bagoe OR Bani OR Baoule OR Lac Do OR Lac Garou OR Lac Aougoundou OR Lac Korarou OR Lac Niangay OR Lake Debo OR Vallee de L'azaouak OR Dallol Bosso OR Eliki OR Mekrou OR Dinya OR Gongola OR Gurara OR Ka OR Kaduna OR Kainj Lake OR Kam OR Katsin a Ala OR Niger OR Oli OR Sokoto OR Taraba OR Teshi OR Wase OR Zamfara OR Benue,NGER,Niger,N,,,,
Nahr El Kebir,NHRK,Nahr El Kebir,N,,,,
Lake Nasser OR Nile OR Abay OR Akkobo OR Angereb  OR Baro OR Beles OR Dabus OR Didesa OR Dinder OR Gilo Wenz OR Hanger OR Jema OR Rahad OR Tana Hayak OR T'is Isat Fwafwate OR Akobo OR Atbara OR Bahr el Arab OR Bahr el Ghazal OR Bahr el Jebel OR Mountain Nile OR Bahr ez Zar af OR Boro OR Busseri OR El Bahr Abyad OR El Bahr el Azraq OR Blue Nile OR Gel OR Geni OR Ibba OR Tonj OR Jur OR Kangen OR Kenamuke Swamp OR Khashm el Quiba Dam OR Knor Abu Habi OR Kobowen Swamp OR Kuru OR Lake No OR Lake Nubia OR Lol  OR Lotilla OR Nyanding OR Pibor OR Pongo OR Raga OR Raqaba ez Zarqa OR Roah OR Na'am OR Setit OR Tekeze OR Sobat OR CAPS(Sue) OR Umbelasha OR Veveno OR Wadi Amur OR Wadi el Allaqi OR Wadi el Ghalla OR Wadi el Milk OR Wadi Gabgaba OR Wadi Muqaddm OR Wau OR Yei OR Achwa OR Morotto OR Albert Nile OR Kafu OR Lake Albert OR Lake George OR Lake Kyoga OR Lake Victoria OR Nkusi OR Peger OR Victoria Nile OR White Nile OR Busizi OR Lac Kivu OR Lake Edward OR Lake Tanganyika OR Semliki,NILE,Nile,N,,,,
Neman OR Byarezina OR Isloch' OR Kotra OR Mowchadz OR Shchara OR Srislach OR Usa OR Viliya OR Voz. Narach OR Voz. Srir OR Vynya OR Zal'ryanka OR Akmend OR Dievogala OR Dubysa OR Dusia OR Grauze OR Jura OR Mitura OR Nemunas OR Neris OR Nevezis OR Nova OR Obelis OR Ova OR Sesuris OR Striuna OR Susre OR Sventoji,NMAN,Neman,N,,,,
Ertix OR Ulungur Hu OR Ertis OR Marqukol OR Zaysan Koli OR Agan OR Chulm OR Dem'yanka OR Irtysh OR Iset' OR Ishim OR Katun' OR Kazum OR Ket' OR Koli' yegan OR Lisitsa OR Ob OR Om' OR Parabel OR Pelym OR Rim OR Sabun OR Tara OR Tavda OR Tobol OR Turtas OR Tym OR Uluyul OR Vagay OR Vakh OR Vasyugan,OBXX,Ob,N,,,,
CAPS(Oral) OR Ural,ORAL,Oral/Ural,N,,,,
Auob OR CAPS(Fish) OR CAPS(Ham) OR Nossob OR Olifants OR Boskloof OR CAPS(Bulk) OR Caledon OR Dwars OR Flouriespruit OR CAPS(Great Fish) OR Groot OR Groot Vloer OR Harts OR Heks OR Houdenbek OR Kaffir OR Kammanassie OR Kareekloof OR Kariega OR Kgabanyane OR Klip OR Koekedou OR Kromme OR Kruis OR Kuruman OR Laughin Water OR Leeu OR Loopspruit OR CAPS(Lower Fish) OR Mahawana OR Modder OR Molopo OR Mooi OR Nuwejaarspruit OR Oorkanste OR CAPS(Orange) OR Palmiet OR Populierbosspruit OR Quains OR Rietspruit OR Rooikloof OR CAPS(Sand) OR Sanddriftskloof OR Sandgat OR Skaap OR Smalblaar OR Swartkops OR Tarka OR Titus OR Vaal OR Vaal Dam OR Valsh OR Van Stadens OR Verneuk Pan,ORAN,Orange,N,,,,
Orinoco OR Ariporo OR Bichada OR Bichado OR Bita OR Bocon OR Craro Norte OR Craw Sur OR Cusiana OR Guainia OR Guaviare OR Guayabera OR Inirida OR La Garcia OR  La Gallinaza OR Losada OR Manacacias OR Mapiripan OR Nare OR Pauto OR CAPS(Playas) OR Salto Angostara I OR Salto Angostura II OR Salto Angostura III OR Tomo OR Tuparro OR Upia OR Ura OR Apure OR Arauca OR Buria OR Capana Paro OR Caroni OR Casiquiare OR Caura OR Chivapuri OR Cinaruco OR Cojedos OR Conorochite OR Cuchiveto OR Embalse de Guri OR Embalse de Guarico OR Erbetuto OR Gaurico OR Guanare OR CAPS(Meta) OR Paco OR Paragua OR Paru OR Parucito OR Portuguesa OR Siapa OR Sipapo OR Suapure OR Ventuari,ORIN,Orinoco,N,,,,
CAPS(Paz),PAZX,Paz,N,,,,
Maggia OR Meosa OR Moesa OR Ticina OR Adda OR Agogna OR Albano OR Arda OR Armisa OR Aveto OR Aviana OR Avio OR Avisio OR Baitone OR Belbo OR Belviso OR Bitto Di Gerola OR Boreaca OR Borleggia OR Bormida OR Brembo OR Brembo Di Branzi OR Caffaro OR Careser OR Caronno OR Ceno OR Cherio OR Chiese OR Chisone OR Cormor OR Dora Baltea OR Dora Riparia OR Elvo OR Enza OR Goglio OR Gorno OR Grana OR Grigno OR Inferno OR Bitto OR Laghetti Del Venerocolo OR Lago d' Iseo OR Lago d' Orta OR Lago di como OR Lago di Garda OR Lago di lecco OR Lago Maggiore OR Laione OR Leno Di Vallarsa OR Liro OR Lovareno OR Maira OR Mera OR Mincio OR Mora OR Noana OR Noce OR Noce Di Val Dal Monte OR Nure OR Oglio OR Ogna OR Orba OR Paharo OR Parma OR Pellice OR Po OR Poglia OR Poglia-Arno OR Poglia-Salarno OR Ratti OR Rio Castelletto OR Roasco OR Roasco D'Eita OR Sarca OR Scalcoggia OR Scrivia OR Secchia OR Seio OR Serio OR Sesia OR Sila OR Stabina OR Stura di Demonte OR Tanaro OR Taro OR Tartano OR Tidone OR Toscolano OR Travignolo OR Trebbia OR Truzzo OR Varaita OR Varrone OR Venina,POXX,Po,N,,"10,000+",,
Pascua,PSCU,Pascua,N,,800-990 left,,
Pu Lun T'o,PULT,Pu Lun T'o,N,,"10,000+",,
Rann of Kutch,RAKU,Rann of Kutch,N,,"2,373",,
CAPS(Red) OR Song Hong OR Amo OR Babian OR Lishe OR Lixian OR Luzhi OR Nanmuli He OR Nanpan Jiang OR Nanpanjiang OR Tangqiao He OR Xida He OR Chay OR CAPS(Da) OR Gam OR Kim OR Lo OR Luc Ngan OR CAPS(Ma) OR Meuk OR CAPS(Na) OR Nhie,REDX,Red/Song Hong,N,,,,
Rezvaya,REZV,Rezvaya,N,,No documents found,,
del Pino OR de la Bagia OR de la Zorra OR Agua Zarca OR Alamo OR Arroyo La Mina OR C. Camargo OR Candela OR Casas Coloradas OR Cerro Coloradas OR Cerro Gordo OR Chuviscar OR Conchos OR El Guardad OR El Rejon OR Florido OR Garabito OR Groceros OR La Sauceda OR Laguna Delicas OR Los Hoyos OR Los Mimbres OR Parral OR Pilon OR Presa de la Boquilla OR Presa Marte R. Comez OR Presa Venustiano Carranza OR Sabinas OR Sacramento OR Salado OR Salado y Salinas OR San Juan OR San Pedro OR San Rodrigo OR Seis de Enero OR Tunal OR Valsequillo OR Abiquin Reservoir OR Alamosa OR Amistad Reservoir OR Arroyo del Macho OR Brady Creek OR Brantley Lake OR Caballo Reservoir OR Cherokee Sandy Creek OR Coal Creek OR Comelys Branch OR Coyanosa Draw OR Curtis Canyon OR Delaware Creek OR CAPS(Devils) OR Elephant Butte Reservoir OR Falcon Lake OR Flat Rock Creek OR Gallinas OR Garrison Creek OR Gold Gulch OR Graveyard Canyon OR Guayo OR Howard Draw OR Independence Creek OR Jonson Draw OR Lake Avalon OR Lake Summer OR North Cheyenne Creek OR North Clear Creek OR Pecos OR Pellejas OR Pinto Creek OR Red Bluff Lake OR Rio Blanco OR Rio Chuma OR Rio Felix OR Rio Grande OR Rio Grande De Arecibo OR Rio Grande Reservoir OR Rio Hondo OR  Rock Arroyo OR Rio Penasco OR Rio Puerco OR Rio Salado OR Rio San Jose OR Salt Creek OR San Carlos  OR Santa Fe OR South Brady Creek OR Toyah Creek OR Toyah Lake OR Trinchera Creek OR CAPS(Vacas) OR Venturo Creek OR Washington Creek OR Williams Creek,RGNA,Rio Grande (North America),N,,,,
CAPS(Rio Grande) OR CAPS(Grande) OR Hurtado,RGSA,Rio Grande (South America),N,,,,
Rach Giang Thanh,RGTH,Rach Giang Thanh,N,,"2,792",,
Rhine OR Meuse OR Aare OR Birs OR Boden see OR Lake Constance OR Diechterbach OR Goschener-reuss OR Hinter rhein OR Oberaarbach OR Reuss OR Rhein da Medal OR Russein OR Sarine OR Toss OR Tscherzisbach OR Vorder rhein OR Zurich see OR Aa OR Aar OR Ahr OR Andrift OR Dreilagerbach OR Eder OR Elz OR Erft OR Glan OR Issel OR Kall OR Kinzig OR Kyll OR Lahn OR Lenne OR Main OR Mosel OR Moselle OR Murg OR Nahe OR Nidda OR Nidder OR Nister OR Perlenbach OR Rehbach OR Ruhr OR Rur OR Schwalm OR Sieg OR Taaber OR Wetter OR Wied OR Wiese OR Ain OR Etang de Lachaus see OR Ill OR Moder OR Orne OR Rhin OR Saar OR Thur OR I Jssel OR Lek OR Linge OR Nederrijn OR Nieuwe Maas OR Waal,RHIN,Rhine-Meuse,N,,,,
