index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
132,NELS,Nelson-Saskatchewan,2019-01-01,2019-01-31,,,,,
133,NELS,Nelson-Saskatchewan,2019-02-01,2019-02-28,,,,,
134,NELS,Nelson-Saskatchewan,2019-03-01,2019-03-31,,,,,
135,NELS,Nelson-Saskatchewan,2019-04-01,2019-04-30,,,,,
136,NELS,Nelson-Saskatchewan,2019-05-01,2019-05-31,,,,,
137,NELS,Nelson-Saskatchewan,2019-06-01,2019-06-30,,,,,
138,NELS,Nelson-Saskatchewan,2019-07-01,2019-07-31,,,,,
139,NELS,Nelson-Saskatchewan,2019-08-01,2019-08-31,,,,,
140,NELS,Nelson-Saskatchewan,2019-09-01,2019-09-30,,,,,
141,NELS,Nelson-Saskatchewan,2019-10-01,2019-10-31,,,,,
142,NELS,Nelson-Saskatchewan,2019-11-01,2019-11-30,,,,,
143,NELS,Nelson-Saskatchewan,2019-12-01,2019-12-31,,,,,
144,NELS,Nelson-Saskatchewan,2020-01-01,2020-01-31,,,,,
145,NELS,Nelson-Saskatchewan,2020-02-01,2020-02-29,,,,,
146,NELS,Nelson-Saskatchewan,2020-03-01,2020-03-31,,,,,
147,NELS,Nelson-Saskatchewan,2020-04-01,2020-04-30,,,,,
148,NELS,Nelson-Saskatchewan,2020-05-01,2020-05-31,,,,,
149,NELS,Nelson-Saskatchewan,2020-06-01,2020-06-30,,,,,
150,NELS,Nelson-Saskatchewan,2020-07-01,2020-07-31,,,,,
151,NELS,Nelson-Saskatchewan,2020-08-01,2020-08-31,,,,,
152,NELS,Nelson-Saskatchewan,2020-09-01,2020-09-30,,,,,
153,NELS,Nelson-Saskatchewan,2020-10-01,2020-10-31,,,,,
154,NELS,Nelson-Saskatchewan,2020-11-01,2020-11-30,,,,,
155,NELS,Nelson-Saskatchewan,2020-12-01,2020-12-31,,,,,
156,NELS,Nelson-Saskatchewan,2021-01-01,2021-01-31,,,,,
157,NELS,Nelson-Saskatchewan,2021-02-01,2021-02-28,,,,,
158,NELS,Nelson-Saskatchewan,2021-03-01,2021-03-31,,,,,
159,NELS,Nelson-Saskatchewan,2021-04-01,2021-04-30,,,,,
160,NELS,Nelson-Saskatchewan,2021-05-01,2021-05-31,,,,,
161,NELS,Nelson-Saskatchewan,2021-06-01,2021-06-30,,,,,
162,NELS,Nelson-Saskatchewan,2021-07-01,2021-07-31,,,,,
163,NELS,Nelson-Saskatchewan,2021-08-01,2021-08-31,,,,,
164,NELS,Nelson-Saskatchewan,2021-09-01,2021-09-30,,,,,
165,NELS,Nelson-Saskatchewan,2021-10-01,2021-10-31,,,,,
166,NELS,Nelson-Saskatchewan,2021-11-01,2021-11-30,,,,,
167,NELS,Nelson-Saskatchewan,2021-12-01,2021-12-31,,,,,
168,NELS,Nelson-Saskatchewan,2022-01-01,2022-01-31,,,,,
169,NELS,Nelson-Saskatchewan,2022-02-01,2022-02-28,,,,,
170,NELS,Nelson-Saskatchewan,2022-03-01,2022-03-31,,,,,
171,NELS,Nelson-Saskatchewan,2022-04-01,2022-04-30,,,,,
172,NELS,Nelson-Saskatchewan,2022-05-01,2022-05-31,,,,,
173,NELS,Nelson-Saskatchewan,2022-06-01,2022-06-30,,,,,
174,NELS,Nelson-Saskatchewan,2022-07-01,2022-07-31,,,,,
175,NELS,Nelson-Saskatchewan,2022-08-01,2022-08-31,,,,,
176,NELS,Nelson-Saskatchewan,2022-09-01,2022-09-30,,,,,
177,NELS,Nelson-Saskatchewan,2022-10-01,2022-10-31,,,,,
178,NELS,Nelson-Saskatchewan,2022-11-01,2022-11-30,,,,,
179,NELS,Nelson-Saskatchewan,2022-12-01,2022-12-31,,,,,
179,NELS,Nelson-Saskatchewan,2023-01-01,2023-01-31,,,,,
179,NELS,Nelson-Saskatchewan,2023-02-01,2023-02-28,,,,,
179,NELS,Nelson-Saskatchewan,2023-03-01,2023-03-31,,,,,
179,NELS,Nelson-Saskatchewan,2023-04-01,2023-04-30,,,,,
179,NELS,Nelson-Saskatchewan,2023-05-01,2023-05-31,,,,,
179,NELS,Nelson-Saskatchewan,2023-06-01,2023-06-30,,,,,
180,NELS,Nelson-Saskatchewan,2023-07-01,2023-07-31,,,,,
181,NELS,Nelson-Saskatchewan,2023-08-01,2023-08-31,,,,,
182,NELS,Nelson-Saskatchewan,2023-09-01,2023-09-30,,,,,
183,NELS,Nelson-Saskatchewan,2023-10-01,2023-10-31,,,,,
184,NELS,Nelson-Saskatchewan,2023-11-01,2023-11-30,,,,,
185,NELS,Nelson-Saskatchewan,2023-12-01,2023-12-31,,,,,
186,NELS,Nelson-Saskatchewan,2024-01-01,2024-01-31,,,,,
187,NELS,Nelson-Saskatchewan,2024-02-01,2024-02-29,,,,,
188,NELS,Nelson-Saskatchewan,2024-03-01,2024-03-15,,,,,
