index,basin_number,search_terms,basin_code,basin_name,basin_count,search_completed,preliminary_review,search_notes,over_ten_thousand,finished
62,62,Corovode OR Flog OR Prishte OR Almbach OR Attersee OR Danube OR Donau OR Drau OR Enns OR Fischa OR Freibach OR Glan OR Gurk OR Hollersbach OR Ill OR Kamp OR Lutz OR Moell OR Mur OR Murz OR Naarn OR Otzaler Ache OR Piesting OR Salza OR Steyr OR Stubache OR Traisen OR Traun OR Traunsee OR Wagrainer Ache OR Worther See OR Ybbs OR Zamser Bach OR Zemm OR Ziller OR Dabnika OR Dere OR Iskar OR Iskur OR Lajenska bara OR Lom OR Lomoashko dere OR Ogosta OR Osum OR Rositsa OR Skut OR Tuchenishka reka OR Vit OR Yantra OR Yazovir A. Stamboliyski OR Yazovir Iskur OR Drinjaca OR Musnica OR Vrba OR Jihlava OR Morava OR Jihalva OR Markovka OR Sveceny potok OR Svratka OR Amper OR Asenbach OR Breg OR Brigach OR Chamb OR Chiem see OR Forvven see OR Glonn OR Gunz OR Iller OR Ilz OR Isar OR Lech OR Naab OR Paar OR Riss OR Rot OR Rott OR Rottach OR Salzach OR Vils OR Walchen see OR Wertach OR Zusam OR Bednja OR Karasica OR Vuka OR Balaton OR Ipoly OR Kapos OR Koppany OR Koros OR Lajta OR Leitha OR Marcal OR Raba OR Sarviz sio OR CAPS(Sio) OR Szaraz Er OR Velencei To OR CAPS(Inn) OR Spol OR Ialpag OR  Amaradia OR Arges OR Bahluet OR Bahlui OR Barzava OR Basca mare OR Baseul OR Batul OR Bega OR Belareca OR Berheci OR Bicaz OR Birlad OR Bistra OR Bistrita OR Bistrita Ardealului OR Bizaya OR Borcea OR Brarul Salina OR Bratul Chilia OR Bratul Sfintu Gheorghe OR Buzau OR Calmatui OR Cerna OR Cernas OR Colentina OR Cotorca OR Cumpana OR Desnatui OR Dimbovita OR Doamnei OR Drincea OR Dunarea OR Gilort OR Gologan OR Gurguiata OR Ialomita OR Jijia OR Jiu OR Callarasi OR Lacal Brates OR Lacul Cabal OR Lacul Greaca OR Lacul Potelu OR Lacul Suhaia OR Lisova OR Moldova OR Mostistea OR Mostru  OR Motru OR Mures OR Maros OR Neajlov OR Olanesti OR Olt OR Oltet OR Pereschiv OR Podriga OR Poganis OR Prahova OR Putna OR Raul Doamnei OR Rimna OR Rimnic OR Sebes OR Simila OR Sitna OR Suceave OR Teleorman OR Timis OR Tutova OR Valea Seaca OR Valsan OR Vedea OR Cierny Vah OR Dunaj OR Jablonianka OR Teplicka OR  OR Drava OR Ipel OR Ipoli OR Hron OR Nitra OR Vah OR Cheremosh OR Ozero Kahul OR Ozero Katlabukh OR Ozero Kytay OR Ozero Yapuh OR Prut OR Siret OR Beli Rzav OR Beli Timok OR Binacka Morava OR Bosut OR Brzava OR Caras OR Cehotina OR Crni Radalj OR Detinja OR Drina OR Grliska Reka OR Ibar OR Jablanica OR Jadar OR Jasenica OR Juzna Morava OR Kolubara OR Krivaja OR Lim OR Lipovica OR Mlava OR Moravica OR Nisaua OR Pek OR Piva OR Raska OR Resava OR Sava OR Silinica OR Tamis OR Tamnava OR CAPS(Tara) OR Timok OR Tisa OR Toplica OR Uvac OR Velika Morava OR Zapadna Morava,DANU,Danube,,N,N,More than 10k results,,0
63,63,Daoura,DAUR,Daoura,,Y,N,,,1
64,64,Digul,DIGL,Digul,,Y,N,,,1
65,65,Dnieper OR Byarezina OR Pinsk Marshes OR Ptsich OR Sozh OR Iput' OR Desna OR Dniepr OR Horyn' OR Inhulets OR Kremenchats'ke Vdskh OR Prypyats' OR Ps'ol OR Seym OR Sluch OR Snov OR Stokhid OR Styr OR Sula OR Uzh OR Vopskla OR,DNPR,Dnieper,,N,N,,,0
66,66,Dniester OR Dniestr OR Seret,DNSR,Dniester,,Y,N,,,1
67,67,CAPS(Don) OR Kalaus OR Khoper OR Medreditsa OR Oskol OR Oz Manych Gudilo OR Sal OR Sir. Donets OR Sosna OR Tsimlyanskoye Vdkhr OR Vorona OR Voronezh,DONX,Don,,N,N,More than 10k results,,0
68,68,Dragonja,DRAG,Dragonja,,Y,N,,,1
69,69,Dra OR Qued Zemoul OR Qued Dades,DRAX,Dra,,Y,N,,,1
70,70,Cemerice OR Drin OR Drinizi OR Fshat OR Gjemon OR Gjonc OR Kamenice OR Kasaj OR Lavdan OR Leminot OR Markez OR Ohridsko Jezero OR Lake Ohrid OR Prifte OR Sopale OR Teqese OR T'plan OR Tropoje OR Verlen OR Zberga OR Beli Drim OR Pecska Bistrica,DRIN,Drin,,N,N,,,0
71,71,Dasht,DSHT,Dasht,,Y,N,,,1
72,72,Drysa OR Dzirina Zakh OR Dzisna OR Voz Drysvyaty OR Voz Snudy OR Levuo OR Aiviekeste OR Berze OR Daugava OR Lecaba OR Lielupe OR Lubanas Ezers OR Lucava OR Maita OR Memele OR Misa OR Musa OR Ogre OR Pededze OR Reznas Ezers OR Rusonu Ezers OR Sivera Ezers OR Svete,DUGV,Daugava,,N,N,,,0
