index,basin_number,search_terms,basin_code,basin_name,basin_count,search_completed,preliminary_review,search_notes,over_ten_thousand,finished
251,251,Sixaola,SIOL,Sixaola,,Y,N,,,1
252,252,St. John ,SJAF,St. John (Africa),,N,N,,,0
253,253,St. John OR Canaan OR Monquart OR Saint John OR Sisson OR Thames OR CAPS(Verde) OR Allasash OR CAPS(Eagle Lake) OR CAPS(Fish) OR CAPS(Long Lake) OR Munsungan lake OR Musquacook Lakes OR CAPS(Round Pond) OR Sqnapan Lake OR Umsaskis Lake,SJNA,St. John (North America),,N,N,,,0
254,254,San Juan OR Chiripo OR Lagoon De Arenal OR San Carlos,SJUA,San Juan,,N,N,"10,000+",,0
255,255,Skagit,SKAG,Skagit,,N,N,,,0
256,256,Batoscam OR Bazin OR Beaharnois Canal OR Chaudiere OR Chicoutimi OR Chochocouane OR Coulonge OR Cross Lake OR Damoine OR Des Prairies OR Fildegrand OR Gatineau OR Gens De Terre OR Gradn Lac Victoria OR Grande Decharge OR Jacques-Cartier OR Jordan OR Kiamika OR Lac Batiscan OR Lac Byrd OR Lac Camachigama OR Lac Dandurand OR Lac des Quinze OR Lac Desert OR Lac du Fils OR Lac Dumoine OR Lac Dumont OR Lac Nemiscachingue OR Lac Poulter OR Lac Roger OR Lac Simard OR Lac St. Patrice OR Lac St. Pierre OR Lac Beaudry OR Lac Brule OR Lake Temagami OR Lake Timiskaming OR Lake Wayagamac OR Larder Lake OR Lievre OR Madawaska OR Manicouagan OR Matabitchuan OR Michipicoten OR Mississagi OR Mistigougueche OR Mitchinamecus OR Mitis OR Montreal OR CAPS(Noire) OR Outaouais Inf. OR Outardes OR Pend D'Oreille OR Peribonka OR Prairies OR River Des OR Du Lievre OR Red Ceder Lake OR Baskatong OR Cabonga OR Decelles OR Dozois OR Richelieu OR Rideau OR Riviere Des Quinze OR Ruisseau La Loutre OR Saguenay OR Saquenay Petite OR Shipshaw OR St. Maurice OR CAPS(Trout Creek) OR Victoria OR CAPS(White Bear) OR Winnepeg OR CAPS(Cranberry Lake) OR East Branch Oswegatchie OR Lake Champlain OR Lake George OR Lake Ontario OR Menominee OR Niagara OR Ottawa OR CAPS(Pine Creek) OR Raquette OR St. Lawrence OR Surannac Lakes,SLAW,St. Lawrence,,N,N,,,0
257,257,San Martin,SMAR,San Martin,,N,N,"10,000+",,0
258,258,Sembakung,SMBK,Sembakung,,Y,N,,,1
259,259,St. Paul OR Diani,SPAU,St. Paul,,N,N,"10,000+",,0
260,260,Sarata,SRTA,Sarata,,Y,N,,,1
261,261,Sarstun,SRTU,Sarstun,,Y,N,,,1
262,262,Stikine OR Chutine OR Kinaskan Lake OR Klappan OR Pitman OR Spatsizi OR Tahltan OR Tahltan Lake OR Tanzilla OR Tumeka Lake OR Tuya,STKN,Stikine,,N,N,,,0
263,263,Struma OR Ana Dere OR Beglichka OR Bersinski dol OR Devinski  OR Kriva OR Matnitza OR Orolachka OR Stara reka OR Strouma OR Limni Kerkunis,STUM,Struma,,Y,N,,,1
264,264,Suchiate,SUCT,Suchiate,,Y,N,,,1
265,265,Sujfun,SUJF,Sujfun,,Y,N,No Results,,1
266,266,Sulak OR Avar Koisu,SULK,Sulak,,Y,N,,,1
267,267,Tafna OR Meffrouch ,TAFN,Tafna,,Y,N,,,1
268,268,Tagus OR A Campon OR Alagon OR Alberche OR Algodor OR Arroyo Canares OR Arroyo de la Venta OR Arroyo Esparragalejo OR Arroyo Helechal OR Embalse de Alcantara I OR Embalse de Alcantara II OR Embalse de Borbollon OR Embalse de El Vado OR Embalse de Entrepenas OR Embalse de Gagriel y Galan OR Embalse de Rosarito OR Embalse de Santillana OR Embalse de Buendia OR Embalse del Burguillo OR Fresnera OR Generala OR Guadarrama OR Guadiela OR Guadiloba OR Henares OR Jarama OR Jartin OR Lozoya OR Manzanares OR Navalmedio OR Pradera OR Salor OR Tajo OR Tajo y Sever OR Tajuna OR Tamuja OR Tietar OR Yedra OR Alva OR Barragem de Cabril OR Barragem de Maranhao OR Barragem de Montargil OR Barragem de Pracana OR Embalse De Cedillo OR Erges OR Mondego OR Muje OR Ocreza OR Ponsul OR S. Vicente OR Seda OR Sever OR Soa OR Sor OR Sorraia OR Tejo OR Toulica OR Zezere,TAGU,Tagus/Tejo,,N,N,,,0
269,269,Taku OR Inklin OR Nahlin OR Nakina OR Shes Lay OR Sloko,TAKU,Taku,,N,N,,,0
270,270,Talas,TALA,Talas,,Y,N,,,1
271,271,Tami,TAMI,Tami,,Y,N,,,1
272,272,Tana OR Anarjohka OR Karasjokka,TANA,Tana,,N,N,,,0
273,273,Tano,TANO,Tano,,Y,N,,,1
274,274,Temash,TEMA,Temash,,Y,N,,,1
275,275,Terek,TERK,Terek,,Y,N,,,1
276,276,Shatt al Arab OR Dez OR Dicle OR Euphrates OR Karun OR Kashkan OR Lesser Zab OR Simareh OR Sultansuyu OR Tigris OR Tigris Khabur OR Al'Uzaym OR Aq Su OR Diyala OR Habbaniyah Lake OR Hawr al Awadh OR Hawr al Hammar OR Hawr as sa' diyah OR Hawr as saniyah OR Hawr as Sunwayquyah OR Razzaza Lake OR Sha'ib Hasb OR Tawuq Chay OR Tharthar Lake OR Wadi al Mani OR Wadi al Ubayyid OR Wadi Amij OR Wadi ar Patqah OR Wadi at Tubal OR Wadi Hawran OR Wadi Mulshi OR Wadi 'Ukash OR Zab al Kabir OR Zab assaghir OR Little Zab OR Wadi al Batin OR Wadi al Khurr OR Wadi Arar OR Wadi atTubal OR Wadi Hamir OR Buhayrat al Asad OR Sajur OR Wadi Shatnat as Salmas OR Frat OR Great Zab OR Khabur OR Murat OR Nizip OR Peri OR Tohma,TIGR,Tigris-Euphrates/Shatt al Arab,,N,N,,,0
277,277,Tijuana,TIJU,Tijuana,,N,N,,,0
278,278,Tjeroaka OR Wanggoe,TJWA,Tjeroaka-Wanggoe,,Y,N,No Results,,1
279,279,Torne OR Kilpisjarvi OR Miekojarvi OR Jerisjarvi OR Konkamaalven OR Lanioalven OR Lataseno OR Muonioalven OR Parkajoki OR Tornealven OR Tornetrask,TORN,Torne/Tornealven,,Y,N,,,1
280,280,Tarim,TRIM,Tarim,,Y,N,,,1
281,281,Tuloma OR Iova OR Kovda OR Lotta OR Paz OR Tuloma OR Verhnetulomskoe OR Voroniya,TULM,Tuloma,,N,N,,,0
282,282,Tumbes,TUMB,Tumbes,,Y,N,,,1
283,283,Tumen,TUMN,Tumen,,Y,N,,,1
284,284,Umbeluzi OR Black Umbuluzi OR White Umbuluzi,UBLZ,Umbeluzi,,Y,N,,,1
285,285,Umba,UMBA,Umba,,Y,N,,,1
286,286,Unuk,UNUK,Unuk,,Y,N,,,1
287,287,Utamboni,UTBN,Utamboni,,Y,N,No Results,,1
288,288,Vanimo OR CAPS(Green),VAGR,Vanimo-Green,,N,N,,,0
289,289,Vecht,VCHT,Vecht,,Y,N,,,1
290,290,Valdivia,VDVA,Valdivia,,Y,N,,,1
291,291,Venta OR Lukstas,VENT,Venta,,Y,N,,,1
292,292,Vefsna,VFSN,Vefsna,,Y,N,No Results,,1
293,293,Vijose OR Brete OR Caush OR Cekreze OR Cycen OR Divjak OR Drin OR Dukaj OR Dushk OR Erzen OR Gadurove OR Germet OR Gjanice OR Gjokaj OR Gjynagal OR Holte OR Karbunar OR Kryekugi OR Malthike OR Manastir OR Manasufaj OR Morush OR Murriz OR Nashies OR P. madh OR Paskugan OR Pellg OR Perit OR Petresh OR Peze OR Prroi I zi OR Prroji arrave OR Prroji buzit OR Prroji zi OR Purrez OR Sauk OR Shegas OR Shkumbin OR Shupal OR Skrevanit OR Subloze OR Suka OR Tapize OR Teplas OR Terkuze OR Tirane OR Tomorrice OR Uji mbare OR Vashaj OR Vinokash OR Vrap OR Zajce OR Zh.I kuq OR Aoos OR Vjose,VJSE,Vijose,,N,N,Unable to download excel,,0
294,294,Velaka,VLKA,Velaka,,Y,N,No Results,,1
295,295,Volga OR Sheksna,VOLG,Volga,,N,N,,,0
296,296,Volta OR Massili OR Mouhoun OR CAPS(Black Volta) OR Nakanbe OR CAPS(White Volta) OR Nazinon OR CAPS(Red Volta) OR Nkambe OR Volta Blanche OR Daka OR Kulpawn OR Oti OR Tono,VOLT,Volta,,N,N,,,0
297,297,Vardar OR Bregalnica OR Crna OR Kriva OR Pcinja OR Treska OR Crna Reka OR Kocanska OR Lepenac OR Tresca,VRDR,Vardar,,Y,N,,,1
298,298,Vistula OR Wista OR Lyasnaya OR Mukhavyets OR Ryta OR Biata OR Biatka OR Bug OR Bystrzyca OR Bzura OR Czarna OR Drweca OR Dtubnia OR Dunajec OR Itzanka OR Jezioro Jeziorak OR Jeziorka OR Krzna OR CAPS(Leg) OR Liwiec OR Lubuczowka OR Mtawka OR Nida OR Nurzec OR Ostaroa OR Pilica OR Raba OR Radomka OR Rzadza OR CAPS(San) OR Skrwa OR Sona OR Swider OR Wieprz OR Wistok OR Wistoka OR Wkra OR Wolica OR Zielawa OR Ozera Svityaz'ka,VSTL,Vistula/Wista,,N,N,,,0
299,299,Vuoksa OR Koitajoki OR Pielisjoki,VUKS,Vuoksa,,Y,N,,,1
300,300,Whiting,WHIT,Whiting,,N,N,,,0
301,301,Wiedau,WIED,Wiedau,,Y,N,,,1
302,302,Yalu,YALU,Yalu,,Y,N,,,1
303,303,Aros OR Laguna de los Mexicanos OR Nacozari OR Papigochic OR Presu de la Angostura OR Santa Maria OR Tomochic OR Tutuaca OR Yaqui,YAQU,Yaqui,,N,N,,,0
304,304,Yelcho,YELC,Yelcho,,Y,N,Any results list under 2 results must be downloaded as PDF instead of excel,,1
305,305,Jenisej OR Yenisey OR Angara OR Bakhta OR Bol Kheta OR Braskove Vdkhr OR Chadobets OR Chuna OR Egiyn OR Hanuy OR Ider OR Ilim OR Irkut OR Kan OR Kas OR Kochechan OR Nidym OR Nizhnyaya Tunguska OR Oka OR Ornon OR Oz. Keta OR Oz. Khantayskoye OR Oz. Pyasino OR Oz. Agaa OR Ozero Baykal OR Ozero Lama OR Podkamennaya Tunguska OR Selenge OR Sym OR Taymura OR Tembenchi OR Turu OR Tutonchana OR Uchami OR Uda OR Vel'mo OR Vivi OR Yeloguy OR Yenisei,YNSY,Jenisej/Yenisey,,N,N,,,0
306,306,Yser,YSER,Yser,,Y,N,,,1
307,307,Arm OR Atlin Lake OR Bennett Lake OR CAPS(Big Creek) OR Big Kalzas Lake OR CAPS(Big Salmon) OR CAPS(Brooks Arm) OR Chandindu OR Claire Lake OR Diamain Lake OR Donjek OR Drary Lake OR Earn Lake OR Fortymile OR Frenchman Lake OR Gladys Lake OR Jennings OR Jennings Lakes OR Kalzas OR Klondike OR Kluane Lake OR Laforce Lake OR CAPS(Lake Creek) OR Lake Laberge OR Little Atlin Lake OR CAPS(Little Salmon Lake) OR CAPS(Long Lake) OR Magundy OR CAPS(Mayo) OR CAPS(Moose Lake) OR N. CAPS(Big Salmon) OR Nisling klaza OR Nisultin Lake OR Nisutlin OR Nome Lake OR Nordenskiold OR Pelly OR CAPS(Quiet Lake) OR Sixty mile OR Stewart OR Stokes Lake OR Surprise Lake OR Swift OR Tagosj Lake OR Talbot Arm OR Tatlman Lake OR Tay OR Teslin Lake OR Tincap Lake OR Tutshi Lake OR Wellesley Lake OR CAPS(White) OR CAPS(Wolf Lake) OR Yukon OR Alatna OR Andreafsky OR CAPS(Bear Creek) OR CAPS(Beaver Creek) OR CAPS(Big Creek) OR CAPS(Big Creek Diversion) OR CAPS(Big Mud) OR CAPS(Birth Creek) OR CAPS(Black) OR Bonasila OR CAPS(Bull Creek) OR Chandalar OR Chandalar Lake OR Charley OR Chena OR Chisana OR Chitanana OR Christian OR Clear Creek OR Cosna OR CAPS(Crow) OR Curlew Lake OR Dakli OR Dalbi OR Dall OR Dela OR Dennison Fork OR CAPS(Dry Creek) OR East Fork Chandalar OR East Fork Andreafsky OR CAPS(Fish Creek) OR CAPS(Fish Lake) OR CAPS(Flat Creek) OR Foraker OR Forty mile OR Gisasa OR Goodpaster OR CAPS(Grass) OR Grayling Fork OR Hadweenzic OR Healy OR Healy Lake OR Henshaw Creek OR Herron OR Hess Creek OR Hodzana OR Hogatza OR Huslia OR CAPS(Indian) OR Indian Creek OR Iniakuk OR Innoko OR Jarvis Creek OR Jim OR John OR Junjik OR Kanati OR Kandik OR Kantisnna OR Kateel OR Kaum Lake OR Khotol OR Kobuk OR Koness OR Koyukuk OR Kulik Lake OR Ladue OR Lake George OR Lake Minchumina OR Litte Melozitna OR Little Black OR Little Delta OR CAPS(Little Mud) OR CAPS(Lost) OR Lost Creek OR Lower Mouth OR Marten Creek OR Mckinley OR Melozitna OR Middle Fork Fish Creek OR Middle Fork Fortymile OR CAPS(Moose Creek) OR Mosquito Fork OR CAPS(Mud Creek) OR N. Fork Indian Creek OR N. Ladue OR N. CAPS(Fork) OR N. Fork Fortymile OR Nabesna OR Nageethluk OR Nation OR Nenana OR Nest Creek OR Norutak Lake OR Nowitna OR Nulato OR Old John Lake OR Preacher Creek OR Ray OR CAPS(Reindeer) OR Run Creek OR S. Fork koyukuk OR Salcha OR CAPS(Salmon Fork) OR Seventy mile OR Sheenjek OR Smoke Creek OR Staver Creek OR Sucker OR Sulutna OR Susulatna OR Tanana OR Tatalina OR Tatlanika OR Tatondak OR Teklanika OR Telsitna OR Tetlin Lake OR Titna OR Tok OR Toklat OR Tolovana OR Tozitna OR CAPS(Trail Creek) OR Upper Mouth OR Victoria Creek OR W. Fork Fortymile OR CAPS(Wild) OR CAPS(Wind)  OR Woman Creek OR CAPS(Wood) OR Yuki OR Zitziana,YUKN,Yukon,,N,N,,,0
308,308,Zambezi OR Capembe OR Cuando OR Lomba OR Luangundo OR Luena OR Luiana OR Lungue-Bungo OR Lungwebunga OR Quembo OR Utembo OR Lago de Cahora Bassa OR Lake Chilwa OR Lake Malawi OR Lake Malombe OR Shire OR Basanga Swamp OR Dongwe OR Kabompo OR Lake Itezhi-Tezhi OR Linyati Chobe OR Luanginga OR Luege OR Lui OR Lukanga Swamp OR Lungwebungu OR Manyinga OR Mwom Bezhi OR Njoko OR West Lunga OR Changa OR Chirareri OR Dande OR Dere OR Dondo OR Gwayi OR Gwebi OR Kafue OR Lake Chivero OR Lake Kariba OR Manyame OR Marirangwe OR Mazowe OR Mtsike OR Munenga OR Munera OR Munganwa OR Munwa OR Munyati OR Munyera OR Munzi OR Mupfurudzi OR Mupinge OR Murowodzi OR Musengesi OR Mvumi OR Mwenje OR Nora OR Nyamanu OR Pembi OR Pote OR Nyama-shanga OR Rukute OR Ruya OR Saruwe OR Sengwa OR Serui OR Setorwe OR Shangani OR Suri Suri OR Susuje OR Umrodzi OR Umwindsi OR Vureneme OR Zambesi,ZAMB,Zambezi,,N,N,,,0
309,309,Zapaleri,ZAPL,Zapaleri,,N,N,No Results,,0
310,310,Zarumilla,ZARM,Zarumilla,,Y,N,,,1
311,311,Allahein,ALHN,Allahein,,N,N,,,0
312,312,Ems OR Eems OR Westerwoldse Aa OR Dollart OR Dollard OR Werse OR Munstersche Aa OR Hunze OR Drentsche Aa,EMSX,Ems,,N,N,,,0
313,313,Loa OR Silala OR Siloli OR Inacaliri OR Cajon OR San Pedro OR Salado OR Toconce ,LOAX,Loa,,N,N,,,0
314,314,"groundwater* OR aquifer* OR ""ground water*""",GRND,Groundwater,,N,N,,,0
